id;Performer;Inst;Style;Year;Tempo
3;Lee Konitz;ts;Postbop;1964;210.5
9;Charlie Parker;ts;Postbop;1964;210.5
14;Benny Goodman;ts;Postbop;1964;157.5
21;Ben Webster;ts;Postbop;1964;64.3
30;Lee Konitz;ts;Postbop;1964;210.5
39;Charlie Parker;ts;Postbop;1964;210.5
45;Cannonball Adderley;ts;Postbop;1964;210.5
52;Kenny Dorham;ts;Postbop;1964;157.5
60;Lee Konitz;ts;Postbop;1964;157.5
66;Dexter Gordon;ts;Postbop;1964;64.3
73;Freddie Hubbard;ts;Postbop;1964;157.5
79;Joshua Redman;ts;Postbop;1964;210.5
84;Benny Carter;ts;Postbop;1964;64.3
92;Dizzy Gillespie;ts;Postbop;1964;157.5
97;Benny Carter;ts;Postbop;1964;64.3
114;Clifford Brown;ts;Postbop;1964;157.5
128;J.J. Johnson;ts;Postbop;1964;64.3
134;Michael Brecker;ts;Postbop;1964;210.5
140;Joe Henderson;ts;Postbop;1964;210.5
146;Joe Henderson;ts;Postbop;1964;64.3
160;Joshua Redman;ts;Postbop;1964;210.5
166;Kenny Dorham;ts;Postbop;1964;157.5
178;Lee Konitz;ts;Postbop;1964;157.5
184;Lester Young;ts;Postbop;1964;98.9
193;Louis Armstrong;ts;Postbop;1964;157.5
199;John Coltrane;ts;Postbop;1964;210.5
206;Kenny Dorham;ts;Postbop;1964;157.5
217;Clifford Brown;ts;Postbop;1964;157.5
225;Lee Konitz;ts;Postbop;1964;64.3
233;Louis Armstrong;ts;Postbop;1964;157.5
248;Dexter Gordon;ts;Postbop;1964;210.5
258;J.J. Johnson;ts;Postbop;1964;64.3
265;Dexter Gordon;ts;Postbop;1964;64.3
271;Lee Konitz;ts;Postbop;1964;64.3
285;Michael Brecker;ts;Postbop;1964;64.3
292;Clifford Brown;ts;Postbop;1964;157.5
