id;Performer;Inst;Style;Year;Tempo
2;Ornette Coleman;ts;Postbop;1964;127.2
8;Michael Brecker;ts;Postbop;1964;210.5
13;Benny Goodman;ts;Postbop;1964;107.0
20;J.J. Johnson;ts;Postbop;1959;210.5
29;John Coltrane;ts;Postbop;1964;210.5
38;Steve Coleman;ts;Postbop;1964;127.2
44;Charlie Parker;ts;Postbop;1959;210.5
51;Clifford Brown;ts;Postbop;1964;127.2
59;Clifford Brown;ts;Postbop;1964;127.2
65;Charlie Parker;ts;Postbop;1964;210.5
72;Freddie Hubbard;ts;Postbop;1964;127.2
78;Sonny Rollins;ts;Postbop;1959;210.5
83;Cannonball Adderley;ts;Postbop;1959;116.0
91;Dizzy Gillespie;ts;Postbop;1964;127.2
96;Coleman Hawkins;ts;Postbop;1959;151.0
113;Freddie Hubbard;ts;Postbop;1964;127.2
127;Dexter Gordon;ts;Postbop;1959;210.5
133;Joe Henderson;ts;Postbop;1959;210.5
139;Cannonball Adderley;ts;Postbop;1959;116.0
145;Charlie Parker;ts;Postbop;1964;210.5
159;Joe Henderson;ts;Postbop;1964;210.5
165;Chet Baker;ts;Postbop;1964;107.0
177;Ornette Coleman;ts;Postbop;1964;116.0
183;Lester Young;ts;Postbop;1959;151.0
192;Roy Eldridge;ts;Postbop;1964;127.2
198;Charlie Parker;ts;Postbop;1964;210.5
205;Dizzy Gillespie;ts;Postbop;1964;127.2
216;Charlie Parker;ts;Postbop;1964;127.2
224;Charlie Parker;ts;Postbop;1964;210.5
232;Kenny Dorham;ts;Postbop;1964;116.0
241;Joe Henderson;ts;Postbop;1959;210.5
257;Bob Berg;ts;Postbop;1959;116.0
264;Ornette Coleman;ts;Postbop;1964;127.2
270;Dizzy Gillespie;ts;Postbop;1964;127.2
283;Dexter Gordon;ts;Postbop;1959;210.5
291;Clifford Brown;ts;Postbop;1964;127.2
