id;Performer;Inst;Style;Year;Tempo
5;Michael Brecker;ts;Postbop;1959;127.2
11;Michael Brecker;ts;Postbop;1959;116.0
16;Don Byas;ts;Postbop;1959;98.9
23;Lester Young;ts;Postbop;1959;98.9
32;John Coltrane;ts;Postbop;1959;157.5
41;Benny Carter;ts;Postbop;1959;127.2
47;John Coltrane;ts;Postbop;1959;157.5
54;Clifford Brown;ts;Postbop;1959;127.2
62;Clifford Brown;ts;Postbop;1959;127.2
68;Ben Webster;ts;Postbop;1959;64.3
75;Joe Henderson;ts;Postbop;1959;157.5
81;David Murray;ts;Postbop;1959;116.0
86;Sonny Rollins;ts;Postbop;1959;157.5
94;Dizzy Gillespie;ts;Postbop;1959;127.2
99;Ben Webster;ts;Postbop;1959;64.3
116;Dizzy Gillespie;ts;Postbop;1959;127.2
130;J.J. Johnson;ts;Postbop;1959;64.3
136;Sonny Rollins;ts;Postbop;1959;116.0
142;Steve Lacy;ts;Postbop;1959;116.0
150;Bob Berg;ts;Postbop;1959;116.0
162;David Murray;ts;Postbop;1959;64.3
168;Miles Davis;ts;Postbop;1959;127.2
180;Lee Konitz;ts;Postbop;1959;127.2
187;Ben Webster;ts;Postbop;1959;98.9
195;Miles Davis;ts;Postbop;1959;127.2
201;Joe Henderson;ts;Postbop;1959;157.5
209;Clifford Brown;ts;Postbop;1959;127.2
219;Chet Baker;ts;Postbop;1959;157.5
228;Lee Konitz;ts;Postbop;1959;127.2
236;Kenny Dorham;ts;Postbop;1959;127.2
251;Ben Webster;ts;Postbop;1959;64.3
261;J.J. Johnson;ts;Postbop;1959;64.3
268;Benny Carter;ts;Postbop;1959;127.2
273;Ornette Coleman;ts;Postbop;1959;127.2
289;Charlie Parker;ts;Postbop;1959;157.5
294;Dizzy Gillespie;ts;Postbop;1959;127.2
